formula     mp_id       data        prediction  
YIr         mp-30746    1           1           1
ZnO         mp-13161    0           0           1
HoN         mp-1001844  1           1           1
PrTl        mp-12599    0           0           1
PtC         mp-1002228  0           0           1
TbCu        mp-1837     0           0           1
YbRu        mp-567116   -1          1           1
TmSb        mp-1002220  0           0           1
BrN         mp-1059160  0           0           1
LuSb        mp-1009007  0           0           1
AgBr        mp-1060967  0           0           1
RbBr        mp-23303    0           0           1
OsC         mp-1009537  0           0           1
HoCu        mp-1971     0           0           1
ScAu        mp-11256    0           0           1
TcB         mp-1002183  0           0           1
NdZn        mp-1053     -1          0           1
HgTe        mp-13141    0           0           1
MgZr        mp-1094743  -1          0           1
SrO         mp-1009819  0           0           1
ScCu        mp-1169     0           0           1
CaTe        mp-10684    0           0           1
ScIr        mp-1129     1           1           1
YSb         mp-998897   0           0           1
SrMg        mp-2564     0           0           1
YbHg        mp-2545     0           0           1
ScSb        mp-12983    0           0           1
ZrC         mp-1009878  0           0           1
BePd        mp-11274    0           0           1
MgPd        mp-506      1           1           1
LuRh        mp-377      1           1           1
LaAg        mp-1948     0           0           1
SrTe        mp-10653    0           0           1
AlAu        mp-10871    1           1           1
PbSe        mp-21214    1           1           1
CsAu        mp-2667     0           0           1
YAs         mp-16732    0           0           1
TlBr        mp-22875    0           0           1
DyZn        mp-2303     -1          0           1
HoAs        mp-1001917  0           0           1
BaHg        mp-2197     0           0           1
PdO         mp-603251   -1          0           1
HfC         mp-1001918  0           0           1
HoBi        mp-1001913  0           0           1
TiRu        mp-592      1           1           1
DyHg        mp-2443     -1          0           1
SrHg        mp-542      0           0           1
ZrSn        mp-1094874  -1          0           1
DyCd        mp-770      -1          0           1
TaTc        mp-11572    0           0           1
LuIr        mp-1529     1           1           1
DyPd        mp-2226     -1          1           1
ScN         mp-12981    0           1           1
LiAu        mp-1206794  -1          0           1
TiBe        mp-11279    1           1           1
TbAl        mp-1009839  1           1           1
LaTl        mp-11488    0           0           1
ErMg        mp-2228     -1          1           1
IrN         mp-1009005  0           0           1
NiHg        mp-1008     -1          0           1
LiTl        mp-934      0           0           1
