0 -0.22393 0.04142 -0.11629 0.08935 -0.28577 -0.24494 -0.20607 0.36215 -0.27557 0.11147 0.17548 0.30847 0.01686 0.06703 0.04145 0.05501 -0.00374 0.03563 0.03262 -0.01461
0 -0.06239 -0.31718 -0.17421 -0.11082 0.36581 0.12931 -0.10959 0.04019 0.19122 -0.09662 0.31594 0.0947 0.01606 -0.02152 -0.02751 -0.06882 -0.02218 -0.02878 -0.0198 0.03024
0 -0.35855 0.19902 0.09165 0.19421 -0.15828 -0.10492 -0.00899 0.23217 0.34452 -0.06416 -0.06763 -0.27563 -0.16316 0.02115 0.01796 -0.18131 -0.22086 0.1439 0.10954 -0.00214
0 -0.25893 0.03322 -0.02584 0.01224 -0.33758 -0.19871 -0.20858 0.39908 -0.2928 0.07144 0.23106 0.34681 0.12828 0.08331 0.02743 0.07655 -0.0461 0.06601 -0.01686 -0.09122
1 -0.16452 -0.28376 -0.06918 -0.21463 -0.07949 0.03416 0.00577 0.04509 0.12124 0.09052 -0.15232 -0.07603 0.19546 -0.29972 -0.00366 0.25219 -0.17307 -0.04592 0.24564 -0.17508
0 -0.32545 -0.40823 0.6668 0.00728 0.22725 -0.10513 -0.18932 -0.15957 -0.03571 0.12935 -0.10402 0.10608 -0.1004 -0.01078 0.11195 -0.10783 -0.06101 -0.12821 -0.0674 -0.03388
0 -0.27462 -0.39608 0.67496 0.04194 0.2383 -0.09449 -0.1952 -0.11945 -0.14951 0.12527 -0.02505 -0.08471 -0.12352 0.01455 -0.16059 0.03191 0.08162 0.15242 -0.01657 0.00158
0 -0.1274 -0.16566 0.48275 0.05855 0.02475 0.00962 0.06213 -0.03246 -0.02827 0.01904 0.15522 -0.1177 -0.00671 -0.02094 -0.27226 0.23966 0.1956 0.2412 0.20315 0.05251
0 0.10485 -0.09457 -0.29778 0.3256 0.19691 -0.06894 -0.08656 -0.07479 -0.1673 -0.00615 0.16281 -0.01573 -0.01888 -0.17013 -0.00404 -0.04121 -0.05262 -0.04177 0.14705 -0.01301
0 -0.18285 0.52081 0.06972 0.09338 -0.02529 0.22534 -0.17101 -0.15127 0.11715 0.11796 -0.11737 -0.0003 0.24965 -0.03715 -0.10414 -0.08301 -0.1802 0.14805 -0.19281 0.04795
0 0.26067 -0.33525 -0.26853 -0.15819 0.02061 0.04647 -0.25774 0.18684 -0.0751 0.04849 -0.16735 -0.17527 0.03034 0.12187 -0.02008 -0.02084 0.04509 -0.05538 -0.02992 0.05358
0 -0.29519 0.17372 -0.00193 0.06622 0.0333 -0.04022 0.10757 -0.14991 0.02251 0.10992 -0.03911 -0.03986 0.18998 0.37235 0.17167 0.30996 0.01076 0.05373 -0.05847 0.09351
0 -0.13184 0.28706 -0.16105 0.05308 0.24409 0.00537 0.20226 -0.00091 -0.13361 0.23634 -0.13498 -0.00747 -0.12125 -0.04026 0.12767 0.05604 0.07123 -0.04563 0.06652 0.05836
