MAT00010941 PbCl2 62 12 Triv_Ins mp-23291
MAT00010992 CoBW 62 12 TI mp-22759
MAT00011029 PrAlPt 62 12 TI mp-570042
MAT00011058 LaTeAs 62 12 Triv_Ins mp-10383
MAT00011183 NClO 62 12 Triv_Ins mp-505727
MAT00011198 YbMgGe 62 12 Triv_Ins mp-542172
MAT00011204 CaInPt 62 12 HSL_SM mp-570689
MAT00011225 DyNiSn 62 12 HSL_SM mp-510152
MAT00011244 SnICl 62 12 Triv_Ins mp-571146
MAT00011253 SrLiSb 62 12 Triv_Ins mp-7756
MAT00011285 DyGePt 62 12 HSL_SM mp-20739
MAT00011292 ErSiRh 62 12 TI mp-22114
MAT00011299 Yb2Pb 62 12 Triv_Ins mp-11544
MAT00011303 HoSnPd 62 12 HSL_SM mp-11764
MAT00011344 HoGeRh 62 12 Triv_Ins mp-22670
MAT00011407 HfSiRh 62 12 HSL_SM mp-13472
MAT00011436 Ho2Al 62 12 HSL_SM mp-16502
MAT00011446 CeAsRh 62 12 Triv_Ins mp-10478
MAT00011449 PrMgRh 62 12 TI mp-16646
MAT00011453 YbSiIr 62 12 HSL_SM mp-10569
MAT00011495 YbCdAu 62 12 HSL_SM mp-11085
MAT00011509 YbZnAu 62 12 HSL_SM mp-13027
MAT00011531 HoGaNi 62 12 TI mp-11442
MAT00011536 SmZnRh 62 12 TI mp-13376
MAT00011567 HfNbP 62 12 TI mp-22637
MAT00011577 PrSnRu 62 12 HSL_SM mp-21010
MAT00011589 NdGeRh 62 12 Triv_Ins mp-21044
MAT00011628 TmGeRh 62 12 Triv_Ins mp-22794
MAT00011679 NbSiIr 62 12 TCI mp-21248
MAT00011694 SbSeI 62 12 Triv_Ins mp-22996
MAT00011703 TbGeRu 62 12 HSL_SM mp-21310
MAT00011707 KNaS 62 12 Triv_Ins mp-28383
MAT00011710 SbSI 62 12 Triv_Ins mp-23041
MAT00011720 SbRh2 62 12 HSL_SM mp-21359
MAT00011725 VCoSi 62 12 TCI mp-21371
MAT00011735 TbSnPd 62 12 HSL_SM mp-21401
MAT00011785 LuMnSi 62 12 Triv_Ins mp-19967
MAT00011788 ScCoGe 62 12 TI mp-1095261
MAT00011793 LiCaAs 62 12 Triv_Ins mp-1095289
MAT00011797 PbBr2 62 12 Triv_Ins mp-28077
MAT00011802 HfGePt 62 12 TI mp-21340
MAT00011807 HfVP 62 12 Triv_Ins mp-1095442
MAT00011812 ZrGeIr 62 12 HSL_SM mp-1095472
MAT00011816 TaCoGe 62 12 TI mp-1095502
MAT00011820 SrCdAu 62 12 HSL_SM mp-1095513
MAT00011825 VSiNi 62 12 HSL_SM mp-1095532
MAT00011829 TaCoP 62 12 HSL_SM mp-1095553
MAT00011833 TbAlAu 62 12 HSL_SM mp-1095572
MAT00011837 LaGaPt 62 12 TI mp-1095587
MAT00011845 ZrGePt 62 12 TI mp-1095610
MAT00011848 TmAsPd 62 12 TI mp-1095625
MAT00011853 YbMgSi 62 12 Triv_Ins mp-864619
MAT00011856 TmAlPd 62 12 TI mp-1095667
MAT00011860 SrInPd 62 12 HSL_SM mp-1095684
MAT00011871 PbBrCl 62 12 Triv_Ins mp-22997
MAT00011936 HoNiGe 62 12 HSL_SM mp-542171
MAT00011944 TaMnP 62 12 HSL_SM mp-21066
MAT00011953 HoSiRu 62 12 HSL_SM mp-22497
MAT00011985 HfO2 62 12 Triv_Ins mp-741
MAT00010174 ThSe2 62 12 Triv_Ins mp-7951
MAT00010203 Ca2Si 62 12 Triv_Ins mp-2517
MAT00010204 TaGeRh 62 12 TI mp-972224
MAT00010205 ZrSiPt 62 12 TI mp-972187
MAT00010240 SrSnPt 62 12 TI mp-20001
MAT00010251 RbLiO 62 12 Triv_Ins mp-28545
MAT00010266 ScCuSi 62 12 TI mp-20083
MAT00010271 BiSCl 62 12 Triv_Ins mp-23318
MAT00010273 NaLiSe 62 12 Triv_Ins mp-28603
MAT00010280 BiSBr 62 12 Triv_Ins mp-23324
MAT00010284 TmMnGe 62 12 Triv_Ins mp-20114
MAT00010287 UFeSi 62 12 TI mp-20121
MAT00010321 CaGePt 62 12 TI mp-31153
MAT00010330 USiRh 62 12 HSL_SM mp-20184
MAT00010333 HfMnSi 62 12 HSL_SM mp-20192
MAT00010349 CaInRh 62 12 TI mp-20220
MAT00010350 BiSI 62 12 Triv_Ins mp-23514
MAT00010382 TiGePd 62 12 TI mp-20268
MAT00010386 DySiIr 62 12 TI mp-20281
MAT00010396 TmSiRu 62 12 HSL_SM mp-20308
MAT00010449 TaSiRh 62 12 TI mp-20436
MAT00010463 ZrSbPd 62 12 HSL_SM mp-22036
MAT00010500 YbSbPd 62 12 HSL_SM mp-20540
MAT00010501 DyMnSi 62 12 Triv_Ins mp-22101
MAT00010502 TbSbRh 62 12 HSL_SM mp-22115
MAT00010506 YSiNi 62 12 HSL_SM mp-20557
MAT00010508 Ho2Au 62 12 HSL_SM mp-30385
MAT00010512 DySiPt 62 12 HSL_SM mp-20571
MAT00010539 TbCoSi 62 12 Triv_Ins mp-22206
MAT00010540 TbSiRu 62 12 HSL_SM mp-20645
MAT00010543 SrLiBi 62 12 Triv_Ins mp-30456
MAT00010582 SrInPt 62 12 HSL_SM mp-22284
MAT00010584 NbGeIr 62 12 TCI mp-22287
MAT00010590 HoGaPd 62 12 TI mp-31386
MAT00010592 SrCaSn 62 12 Triv_Ins mp-20726
MAT00010593 TiAsRh 62 12 TI mp-505540
MAT00010596 ErGaPd 62 12 TI mp-31387
MAT00010616 ScSiNi 62 12 HSL_SM mp-22426
MAT00010628 YbGePt 62 12 TI mp-22453
MAT00010637 HfCuSi 62 12 HSL_SM mp-22489
MAT00010641 SrInAu 62 12 TI mp-22529
MAT00010681 DySnPd 62 12 HSL_SM mp-30618
MAT00010701 Mg2Hg 62 12 TI mp-30719
