formula   X_a0      X_b1      X_c2      Z_a3      Z_b4      Z_c5      IE_a6     IE_b7     IE_c8     EA_a9     EA_b10    EA_c11    r_A12     r_B13     r_C14     vale_A15  vale_B16  vale_C17  cr.r_A18  cr.r_B19  cr.r_C20  mb.x_A21  mb.x_B22  mb.x_C23  s_A24     p_A25     d_A26     f_A27     s_B28     p_B29     d_B30     f_B31     s_C32     p_C33     d_C34     f_C35     topoY     
Ce(FeSi)2 1.12      1.83      1.9       58        26        14        5.5386    7.90247   8.15168   0.572     0.15324   1.38952   1.85      1.4       1.1       3         8         4         4.50      4.50      4.50      1.1       1.1       1.1       2         0         1         1         2         0         6         0         2         2         0         0         0         
Ca(NiGe)2 1.0       1.91      2.01      20        28        32        6.11316   7.63988   7.89944   0.02455   1.15716   1.23268   1.8       1.35      1.25      2         10        4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         0         8         0         2         2         10        0         1         
Yb(SiRu)2 1.1       2.2       1.9       70        44        14        6.25416   7.3605    8.15168   -0.02     1.04638   1.38952   1.75      1.3       1.1       3         8         4         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        1         0         7         0         2         2         0         0         1         
Th(CrGe)2 1.3       1.66      2.01      90        24        32        6.3067    6.76651   7.89944   1.17      0.67584   1.23268   1.8       1.4       1.25      3         6         4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         1         0         5         0         2         2         10        0         0         
Ca(AgGe)2 1.0       1.93      2.01      20        47        32        6.11316   7.57623   7.89944   0.02455   1.30447   1.23268   1.8       1.6       1.25      2         11        4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         1         0         10        0         2         2         10        0         0         
Ba(MgGe)2 0.89      1.31      2.01      56        12        32        5.21166   7.64624   7.89944   0.14463   -0.42     1.23268   2.15      1.5       1.25      2         2         4         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         0         0         0         2         2         10        0         1         
Sr(CrAs)2 0.95      1.66      2.18      38        24        33        5.69487   6.76651   9.78855   0.05207   0.67584   0.80482   2.0       1.4       1.15      2         6         5         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         1         0         5         0         2         3         10        0         1         
Ba(SbPd)2 0.89      2.2       2.05      56        46        51        5.21166   8.33684   8.60839   0.14463   0.56214   1.0474    2.15      1.4       1.45      2         10        5         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         0         0         10        0         2         3         10        0         1         
Sr(AgSn)2 0.95      1.93      1.96      38        47        50        5.69487   7.57623   7.34392   0.05207   1.30447   1.11207   2.0       1.6       1.45      2         11        4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         1         0         10        0         2         2         10        0         0         
Sr(CoGe)2 0.95      1.88      2.01      38        27        32        5.69487   7.88101   7.89944   0.05207   0.66226   1.23268   2.0       1.35      1.25      2         9         4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         0         7         0         2         2         10        0         1         
Ca(PRh)2  1.0       2.28      2.19      20        45        15        6.11316   7.4589    10.48669  0.02455   1.14289   0.74661   1.8       1.35      1.0       2         9         5         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         1         0         8         0         2         3         0         0         1         
Th(CuSi)2 1.3       1.9       1.9       90        29        14        6.3067    7.72638   8.15168   1.17      1.23578   1.38952   1.8       1.35      1.1       3         11        4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         1         0         10        0         2         2         0         0         1         
Sr(SiAg)2 0.95      1.93      1.9       38        47        14        5.69487   7.57623   8.15168   0.05207   1.30447   1.38952   2.0       1.6       1.1       2         11        4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         1         0         10        0         2         2         0         0         0         
Ca(CoP)2  1.0       1.88      2.19      20        27        15        6.11316   7.88101   10.48669  0.02455   0.66226   0.74661   1.8       1.35      1.0       2         9         5         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         0         7         0         2         3         0         0         1         
Yb(SiNi)2 1.1       1.91      1.9       70        28        14        6.25416   7.63988   8.15168   -0.02     1.15716   1.38952   1.75      1.35      1.1       3         10        4         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        2         0         8         0         2         2         0         0         1         
Sr(CoP)2  0.95      1.88      2.19      38        27        15        5.69487   7.88101   10.48669  0.05207   0.66226   0.74661   2.0       1.35      1.0       2         9         5         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         0         7         0         2         3         0         0         1         
Sr(PRu)2  0.95      2.2       2.19      38        44        15        5.69487   7.3605    10.48669  0.05207   1.04638   0.74661   2.0       1.3       1.0       2         8         5         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         1         0         7         0         2         3         0         0         1         
U(CrSi)2  1.38      1.66      1.9       92        24        14        6.19405   6.76651   8.15168   0.53      0.67584   1.38952   1.75      1.4       1.1       3         6         4         4.72      4.72      4.72      1.7       1.7       1.7       2         0         1         3         1         0         5         0         2         2         0         0         0         
U(SiOs)2  1.38      2.2       1.9       92        76        14        6.19405   8.43823   8.15168   0.53      1.0778    1.38952   1.75      1.3       1.1       3         8         4         4.72      4.72      4.72      1.7       1.7       1.7       2         0         1         3         2         0         6         14        2         2         0         0         1         
Ca(AsRu)2 1.0       2.2       2.18      20        44        33        6.11316   7.3605    9.78855   0.02455   1.04638   0.80482   1.8       1.3       1.15      2         8         5         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         1         0         7         0         2         3         10        0         1         
Ba(CrAs)2 0.89      1.66      2.18      56        24        33        5.21166   6.76651   9.78855   0.14463   0.67584   0.80482   2.15      1.4       1.15      2         6         5         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         1         0         5         0         2         3         10        0         0         
Th(FeGe)2 1.3       1.83      2.01      90        26        32        6.3067    7.90247   7.89944   1.17      0.15324   1.23268   1.8       1.4       1.25      3         8         4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         2         0         6         0         2         2         10        0         1         
U(MnGe)2  1.38      1.55      2.01      92        25        32        6.19405   7.43404   7.89944   0.53      -0.52     1.23268   1.75      1.4       1.25      3         7         4         4.72      4.72      4.72      1.7       1.7       1.7       2         0         1         3         2         0         5         0         2         2         10        0         1         
Ce(SiRu)2 1.12      2.2       1.9       58        44        14        5.5386    7.3605    8.15168   0.572     1.04638   1.38952   1.85      1.3       1.1       3         8         4         4.50      4.50      4.50      1.1       1.1       1.1       2         0         1         1         1         0         7         0         2         2         0         0         0         
U(CuSi)2  1.38      1.9       1.9       92        29        14        6.19405   7.72638   8.15168   0.53      1.23578   1.38952   1.75      1.35      1.1       3         11        4         4.72      4.72      4.72      1.7       1.7       1.7       2         0         1         3         1         0         10        0         2         2         0         0         1         
SrIn4     0.95      1.78      1.78      38        49        49        5.69487   5.78636   5.78636   0.05207   0.38393   0.38393   2.0       1.55      1.55      2         3         3         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         1         10        0         2         1         10        0         0         
Sr(AlPb)2 0.95      1.61      2.33      38        13        82        5.69487   5.98577   7.41668   0.05207   0.43284   0.35672   2.0       1.25      1.8       2         3         4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         1         0         0         2         2         10        14        0         
Zr(SiNi)2 1.33      1.91      1.9       40        28        14        6.63413   7.63988   8.15168   0.43329   1.15716   1.38952   1.55      1.35      1.1       4         10        4         2.825     2.825     2.825     1.70      1.70      1.70      2         0         2         0         2         0         8         0         2         2         0         0         1         
Yb(CoSi)2 1.1       1.88      1.9       70        27        14        6.25416   7.88101   8.15168   -0.02     0.66226   1.38952   1.75      1.35      1.1       3         9         4         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        2         0         7         0         2         2         0         0         1         
Yb(PRu)2  1.1       2.2       2.19      70        44        15        6.25416   7.3605    10.48669  -0.02     1.04638   0.74661   1.75      1.3       1.0       3         8         5         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        1         0         7         0         2         3         0         0         1         
U(GeIr)2  1.38      2.2       2.01      92        77        32        6.19405   8.96702   7.89944   0.53      1.56436   1.23268   1.75      1.35      1.25      3         9         4         4.72      4.72      4.72      1.7       1.7       1.7       2         0         1         3         2         0         7         14        2         2         10        0         0         
Hf2H2Pd   2.2       2.2       1.3       46        1         72        8.33684   13.59843  6.82507   0.56214   0.7546    0.17807   1.4       0.25      1.55      10        1         4         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         1         0         0         0         2         0         2         14        1         
Th(SiPd)2 1.3       2.2       1.9       90        46        14        6.3067    8.33684   8.15168   1.17      0.56214   1.38952   1.8       1.4       1.1       3         10        4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         0         0         10        0         2         2         0         0         1         
Bi2SeO2   2.55      3.44      2.02      34        8         83        9.75239   13.61806  7.28552   2.0206    1.46111   0.94236   1.15      0.6       1.6       6         6         5         1.285     1.285     1.285     2.54      2.54      2.54      2         4         10        0         2         4         0         0         2         3         10        14        0         
U(CuGe)2  1.38      1.9       2.01      92        29        32        6.19405   7.72638   7.89944   0.53      1.23578   1.23268   1.75      1.35      1.25      3         11        4         4.72      4.72      4.72      1.7       1.7       1.7       2         0         1         3         1         0         10        0         2         2         10        0         1         
Sr(NiSb)2 0.95      1.91      2.05      38        28        51        5.69487   7.63988   8.60839   0.05207   1.15716   1.0474    2.0       1.35      1.45      2         10        5         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         0         8         0         2         3         10        0         1         
Yb(CoGe)2 1.1       1.88      2.01      70        27        32        6.25416   7.88101   7.89944   -0.02     0.66226   1.23268   1.75      1.35      1.25      3         9         4         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        2         0         7         0         2         2         10        0         1         
Sr(SiPd)2 0.95      2.2       1.9       38        46        14        5.69487   8.33684   8.15168   0.05207   0.56214   1.38952   2.0       1.4       1.1       2         10        4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         0         0         10        0         2         2         0         0         1         
Th(NiGe)2 1.3       1.91      2.01      90        28        32        6.3067    7.63988   7.89944   1.17      1.15716   1.23268   1.8       1.35      1.25      3         10        4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         2         0         8         0         2         2         10        0         1         
Ba(AsRu)2 0.89      2.2       2.18      56        44        33        5.21166   7.3605    9.78855   0.14463   1.04638   0.80482   2.15      1.3       1.15      2         8         5         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         1         0         7         0         2         3         10        0         0         
Ce(NiP)2  1.12      1.91      2.19      58        28        15        5.5386    7.63988   10.48669  0.572     1.15716   0.74661   1.85      1.35      1.0       3         10        5         4.50      4.50      4.50      1.1       1.1       1.1       2         0         1         1         2         0         8         0         2         3         0         0         1         
Ca(GeRu)2 1.0       2.2       2.01      20        44        32        6.11316   7.3605    7.89944   0.02455   1.04638   1.23268   1.8       1.3       1.25      2         8         4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         1         0         7         0         2         2         10        0         1         
Th(GePt)2 1.3       2.28      2.01      90        78        32        6.3067    8.95883   7.89944   1.17      2.12511   1.23268   1.8       1.35      1.25      3         10        4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         1         0         9         14        2         2         10        0         1         
Li2CN2    2.55      0.98      3.04      6         3         7         11.26029  5.39171   14.53413  1.26211   0.61805   -0.07     0.7       1.45      0.65      4         1         5         0.64      0.64      0.64      2.37      2.37      2.37      2         2         0         0         1         0         0         0         2         3         0         0         0         
Zr2H2Pd   2.2       2.2       1.33      46        1         40        8.33684   13.59843  6.63413   0.56214   0.7546    0.43329   1.4       0.25      1.55      10        1         4         2.45      2.45      2.45      2.08      2.08      2.08      0         0         10        0         1         0         0         0         2         0         2         0         1         
Th(SiRu)2 1.3       2.2       1.9       90        44        14        6.3067    7.3605    8.15168   1.17      1.04638   1.38952   1.8       1.3       1.1       3         8         4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         1         0         7         0         2         2         0         0         1         
Sr(SbPd)2 0.95      2.2       2.05      38        46        51        5.69487   8.33684   8.60839   0.05207   0.56214   1.0474    2.0       1.4       1.45      2         10        5         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         0         0         10        0         2         3         10        0         1         
Sr(NiAs)2 0.95      1.91      2.18      38        28        33        5.69487   7.63988   9.78855   0.05207   1.15716   0.80482   2.0       1.35      1.15      2         10        5         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         0         8         0         2         3         10        0         0         
Th(SiIr)2 1.3       1.9       2.2       90        14        77        6.3067    8.15168   8.96702   1.17      1.38952   1.56436   1.8       1.1       1.35      3         4         9         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         2         2         0         0         2         0         7         14        0         
Ce(SiIr)2 1.12      1.9       2.2       58        14        77        5.5386    8.15168   8.96702   0.572     1.38952   1.56436   1.85      1.1       1.35      3         4         9         4.50      4.50      4.50      1.1       1.1       1.1       2         0         1         1         2         2         0         0         2         0         7         14        0         
Yb(SiRh)2 1.1       2.28      1.9       70        45        14        6.25416   7.4589    8.15168   -0.02     1.14289   1.38952   1.75      1.35      1.1       3         9         4         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        1         0         8         0         2         2         0         0         1         
Yb(CuGe)2 1.1       1.9       2.01      70        29        32        6.25416   7.72638   7.89944   -0.02     1.23578   1.23268   1.75      1.35      1.25      3         11        4         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        1         0         10        0         2         2         10        0         1         
Ba(NiAs)2 0.89      1.91      2.18      56        28        33        5.21166   7.63988   9.78855   0.14463   1.15716   0.80482   2.15      1.35      1.15      2         10        5         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         0         8         0         2         3         10        0         0         
Ba(CdGe)2 0.89      1.69      2.01      56        48        32        5.21166   8.99382   7.89944   0.14463   -0.72     1.23268   2.15      1.55      1.25      2         12        4         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         0         10        0         2         2         10        0         1         
Ca(SiRh)2 1.0       2.28      1.9       20        45        14        6.11316   7.4589    8.15168   0.02455   1.14289   1.38952   1.8       1.35      1.1       2         9         4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         1         0         8         0         2         2         0         0         1         
Sr(AsPd)2 0.95      2.2       2.18      38        46        33        5.69487   8.33684   9.78855   0.05207   0.56214   0.80482   2.0       1.4       1.15      2         10        5         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         0         0         10        0         2         3         10        0         1         
Ba(CuAs)2 0.89      1.9       2.18      56        29        33        5.21166   7.72638   9.78855   0.14463   1.23578   0.80482   2.15      1.35      1.15      2         11        5         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         1         0         10        0         2         3         10        0         1         
Yb(MnSi)2 1.1       1.55      1.9       70        25        14        6.25416   7.43404   8.15168   -0.02     -0.52     1.38952   1.75      1.4       1.1       3         7         4         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        2         0         5         0         2         2         0         0         1         
Th(CrSi)2 1.3       1.66      1.9       90        24        14        6.3067    6.76651   8.15168   1.17      0.67584   1.38952   1.8       1.4       1.1       3         6         4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         1         0         5         0         2         2         0         0         0         
Ce(GePd)2 1.12      2.2       2.01      58        46        32        5.5386    8.33684   7.89944   0.572     0.56214   1.23268   1.85      1.4       1.25      3         10        4         4.50      4.50      4.50      1.1       1.1       1.1       2         0         1         1         0         0         10        0         2         2         10        0         1         
Yb(SiAu)2 1.1       2.54      1.9       70        79        14        6.25416   9.22555   8.15168   -0.02     2.30861   1.38952   1.75      1.35      1.1       3         11        4         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        1         0         10        14        2         2         0         0         1         
Ca(GeRh)2 1.0       2.28      2.01      20        45        32        6.11316   7.4589    7.89944   0.02455   1.14289   1.23268   1.8       1.35      1.25      2         9         4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         1         0         8         0         2         2         10        0         1         
Ba(AgGe)2 0.89      1.93      2.01      56        47        32        5.21166   7.57623   7.89944   0.14463   1.30447   1.23268   2.15      1.6       1.25      2         11        4         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         1         0         10        0         2         2         10        0         1         
Ba(CuSe)2 0.89      1.9       2.55      56        29        34        5.21166   7.72638   9.75239   0.14463   1.23578   2.0206    2.15      1.35      1.15      2         11        6         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         1         0         10        0         2         4         10        0         0         
Ca(ZnSi)2 1.0       1.65      1.9       20        30        14        6.11316   9.3942    8.15168   0.02455   -0.62     1.38952   1.8       1.35      1.1       2         12        4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         0         10        0         2         2         0         0         1         
U2TeO2    2.1       3.44      1.38      52        8         92        9.00981   13.61806  6.19405   1.97088   1.46111   0.53      1.4       0.6       1.75      6         6         3         1.67      1.67      1.67      2.38      2.38      2.38      2         4         10        0         2         4         0         0         2         0         1         3         1         
BaAl4     0.89      1.61      1.61      56        13        13        5.21166   5.98577   5.98577   0.14463   0.43284   0.43284   2.15      1.25      1.25      2         3         3         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         1         0         0         2         1         0         0         0         
Ce(FeP)2  1.12      1.83      2.19      58        26        15        5.5386    7.90247   10.48669  0.572     0.15324   0.74661   1.85      1.4       1.0       3         8         5         4.50      4.50      4.50      1.1       1.1       1.1       2         0         1         1         2         0         6         0         2         3         0         0         0         
Sr(CuSi)2 0.95      1.9       1.9       38        29        14        5.69487   7.72638   8.15168   0.05207   1.23578   1.38952   2.0       1.35      1.1       2         11        4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         1         0         10        0         2         2         0         0         1         
Ba(MgSi)2 0.89      1.31      1.9       56        12        14        5.21166   7.64624   8.15168   0.14463   -0.42     1.38952   2.15      1.5       1.1       2         2         4         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         0         0         0         2         2         0         0         0         
Ca(AlGa)2 1.0       1.61      1.81      20        13        31        6.11316   5.98577   5.9993    0.02455   0.43284   0.3012    1.8       1.25      1.3       2         3         3         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         1         0         0         2         1         10        0         0         
Th2TeN2   2.1       3.04      1.3       52        7         90        9.00981   14.53413  6.3067    1.97088   -0.07     1.17      1.4       0.65      1.8       6         5         3         1.67      1.67      1.67      2.38      2.38      2.38      2         4         10        0         2         3         0         0         2         0         2         0         0         
Ba(NiP)2  0.89      1.91      2.19      56        28        15        5.21166   7.63988   10.48669  0.14463   1.15716   0.74661   2.15      1.35      1.0       2         10        5         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         2         0         8         0         2         3         0         0         0         
Th(SiTc)2 1.3       1.9       1.9       90        43        14        6.3067    7.11938   8.15168   1.17      0.552     1.38952   1.8       1.35      1.1       3         7         4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         2         0         5         0         2         2         0         0         1         
Th(FeSi)2 1.3       1.83      1.9       90        26        14        6.3067    7.90247   8.15168   1.17      0.15324   1.38952   1.8       1.4       1.1       3         8         4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         2         0         6         0         2         2         0         0         1         
Ca(SiAu)2 1.0       2.54      1.9       20        79        14        6.11316   9.22555   8.15168   0.02455   2.30861   1.38952   1.8       1.35      1.1       2         11        4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         1         0         10        14        2         2         0         0         1         
Ba(BRh)2  0.89      2.28      2.04      56        45        5         5.21166   7.4589    8.29802   0.14463   1.14289   0.27972   2.15      1.35      0.85      2         9         3         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         1         0         8         0         2         1         0         0         1         
Ba(PRh)2  0.89      2.28      2.19      56        45        15        5.21166   7.4589    10.48669  0.14463   1.14289   0.74661   2.15      1.35      1.0       2         9         5         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         1         0         8         0         2         3         0         0         1         
Yb(CuSi)2 1.1       1.9       1.9       70        29        14        6.25416   7.72638   8.15168   -0.02     1.23578   1.38952   1.75      1.35      1.1       3         11        4         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        1         0         10        0         2         2         0         0         1         
Ba(AgSn)2 0.89      1.93      1.96      56        47        50        5.21166   7.57623   7.34392   0.14463   1.30447   1.11207   2.15      1.6       1.45      2         11        4         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         1         0         10        0         2         2         10        0         1         
Ca(FeP)2  1.0       1.83      2.19      20        26        15        6.11316   7.90247   10.48669  0.02455   0.15324   0.74661   1.8       1.4       1.0       2         8         5         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         0         6         0         2         3         0         0         1         
Ca(PRu)2  1.0       2.2       2.19      20        44        15        6.11316   7.3605    10.48669  0.02455   1.04638   0.74661   1.8       1.3       1.0       2         8         5         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         1         0         7         0         2         3         0         0         1         
Sr(NiGe)2 0.95      1.91      2.01      38        28        32        5.69487   7.63988   7.89944   0.05207   1.15716   1.23268   2.0       1.35      1.25      2         10        4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         0         8         0         2         2         10        0         0         
Th(SiNi)2 1.3       1.91      1.9       90        28        14        6.3067    7.63988   8.15168   1.17      1.15716   1.38952   1.8       1.35      1.1       3         10        4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         2         0         8         0         2         2         0         0         1         
Ca(SiNi)2 1.0       1.91      1.9       20        28        14        6.11316   7.63988   8.15168   0.02455   1.15716   1.38952   1.8       1.35      1.1       2         10        4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         0         8         0         2         2         0         0         1         
Yb(SiOs)2 1.1       2.2       1.9       70        76        14        6.25416   8.43823   8.15168   -0.02     1.0778    1.38952   1.75      1.3       1.1       3         8         4         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        2         0         6         14        2         2         0         0         0         
Ce(CoSi)2 1.12      1.88      1.9       58        27        14        5.5386    7.88101   8.15168   0.572     0.66226   1.38952   1.85      1.35      1.1       3         9         4         4.50      4.50      4.50      1.1       1.1       1.1       2         0         1         1         2         0         7         0         2         2         0         0         0         
Ca(AlZn)2 1.0       1.61      1.65      20        13        30        6.11316   5.98577   9.3942    0.02455   0.43284   -0.62     1.8       1.25      1.35      2         3         12        3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         2         1         0         0         2         0         10        0         1         
Hf(CoSi)2 1.3       1.88      1.9       72        27        14        6.82507   7.88101   8.15168   0.17807   0.66226   1.38952   1.55      1.35      1.1       4         9         4         2.91      2.91      2.91      1.73      1.73      1.73      2         0         2         14        2         0         7         0         2         2         0         0         0         
Yb(GeRh)2 1.1       2.28      2.01      70        45        32        6.25416   7.4589    7.89944   -0.02     1.14289   1.23268   1.75      1.35      1.25      3         9         4         3.59      3.59      3.59      1.1       1.1       1.1       2         0         0         14        1         0         8         0         2         2         10        0         1         
Nd2TeO2   2.1       3.44      1.14      52        8         60        9.00981   13.61806  5.525     1.97088   1.46111   0.09749   1.4       0.6       1.85      6         6         3         1.67      1.67      1.67      2.38      2.38      2.38      2         4         10        0         2         4         0         0         2         0         0         4         0         
Ca(SiPd)2 1.0       2.2       1.9       20        46        14        6.11316   8.33684   8.15168   0.02455   0.56214   1.38952   1.8       1.4       1.1       2         10        4         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         0         0         10        0         2         2         0         0         1         
Zr(FeSi)2 1.33      1.83      1.9       40        26        14        6.63413   7.90247   8.15168   0.43329   0.15324   1.38952   1.55      1.4       1.1       4         8         4         2.825     2.825     2.825     1.70      1.70      1.70      2         0         2         0         2         0         6         0         2         2         0         0         1         
Sr(CoAs)2 0.95      1.88      2.18      38        27        33        5.69487   7.88101   9.78855   0.05207   0.66226   0.80482   2.0       1.35      1.15      2         9         5         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         0         7         0         2         3         10        0         1         
U(GePd)2  1.38      2.2       2.01      92        46        32        6.19405   8.33684   7.89944   0.53      0.56214   1.23268   1.75      1.4       1.25      3         10        4         4.72      4.72      4.72      1.7       1.7       1.7       2         0         1         3         0         0         10        0         2         2         10        0         0         
U(NiP)2   1.38      1.91      2.19      92        28        15        6.19405   7.63988   10.48669  0.53      1.15716   0.74661   1.75      1.35      1.0       3         10        5         4.72      4.72      4.72      1.7       1.7       1.7       2         0         1         3         2         0         8         0         2         3         0         0         1         
