formula   X_a0      X_b1      X_c2      Z_a3      Z_b4      Z_c5      IE_a6     IE_b7     IE_c8     EA_a9     EA_b10    EA_c11    r_A12     r_B13     r_C14     vale_A15  vale_B16  vale_C17  cr.r_A18  cr.r_B19  cr.r_C20  mb.x_A21  mb.x_B22  mb.x_C23  s_A24     p_A25     d_A26     f_A27     s_B28     p_B29     d_B30     f_B31     s_C32     p_C33     d_C34     f_C35     topoY     
Ba(AsPd)2 0.89      2.2       2.18      56        46        33        5.21166   8.33684   9.78855   0.14463   0.56214   0.80482   2.15      1.4       1.15      2         10        5         3.402     3.402     3.402     1.08      1.08      1.08      2         0         0         0         0         0         10        0         2         3         10        0         0         
Th(GeRu)2 1.3       2.2       2.01      90        44        32        6.3067    7.3605    7.89944   1.17      1.04638   1.23268   1.8       1.3       1.25      3         8         4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         1         0         7         0         2         2         10        0         1         
Ca(CuP)2  1.0       1.9       2.19      20        29        15        6.11316   7.72638   10.48669  0.02455   1.23578   0.74661   1.8       1.35      1.0       2         11        5         3.00      3.00      3.00      1.17      1.17      1.17      2         0         0         0         1         0         10        0         2         3         0         0         1         
Sr(SiAu)2 0.95      2.54      1.9       38        79        14        5.69487   9.22555   8.15168   0.05207   2.30861   1.38952   2.0       1.35      1.1       2         11        4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         1         0         10        14        2         2         0         0         1         
Sr(GeIr)2 0.95      2.2       2.01      38        77        32        5.69487   8.96702   7.89944   0.05207   1.56436   1.23268   2.0       1.35      1.25      2         9         4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         0         7         14        2         2         10        0         1         
Th(CoSi)2 1.3       1.88      1.9       90        27        14        6.3067    7.88101   8.15168   1.17      0.66226   1.38952   1.8       1.35      1.1       3         9         4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         2         0         7         0         2         2         0         0         0         
Sr(CdGe)2 0.95      1.69      2.01      38        48        32        5.69487   8.99382   7.89944   0.05207   -0.72     1.23268   2.0       1.55      1.25      2         12        4         3.21      3.21      3.21      1.13      1.13      1.13      2         0         0         0         2         0         10        0         2         2         10        0         1         
Th(SiOs)2 1.3       2.2       1.9       90        76        14        6.3067    8.43823   8.15168   1.17      1.0778    1.38952   1.8       1.3       1.1       3         8         4         4.98      4.98      4.98      1.3       1.3       1.3       2         0         2         0         2         0         6         14        2         2         0         0         1         
Ce(SiAu)2 1.12      2.54      1.9       58        79        14        5.5386    9.22555   8.15168   0.572     2.30861   1.38952   1.85      1.35      1.1       3         11        4         4.50      4.50      4.50      1.1       1.1       1.1       2         0         1         1         1         0         10        14        2         2         0         0         1         
U(SiRh)2  1.38      2.28      1.9       92        45        14        6.19405   7.4589    8.15168   0.53      1.14289   1.38952   1.75      1.35      1.1       3         9         4         4.72      4.72      4.72      1.7       1.7       1.7       2         0         1         3         1         0         8         0         2         2         0         0         0         
