formula     mp_id       data        prediction  
Ba(AlSi)2   mp-12863    0           0           1
Ca(CuGe)2   mp-4441     1           1           1
Ba(FeAs)2   mp-568961   0           0           1
Sr(SiPd)2   mp-568402   1           1           1
Sr(AlGa)2   mp-1207102  -1          0           1
Dy(PPd)2    mp-1207097  -1          0           1
Sm(GeRh)2   mp-5161     -1          1           1
Th(CuSi)2   mp-5948     1           1           1
Yb(ZnGa)2   mp-1215846  -1          0           1
Yb(CoGe)2   mp-568902   1           1           1
Er(CuGe)2   mp-5083     -1          1           1
Th2TeN2     mp-7523     0           0           1
Zr(FeSi)2   mp-569247   1           1           1
Dy(GePd)2   mp-22180    -1          0           1
Sr(GeRu)2   mp-19787    1           1           1
Ba(CoGe)2   mp-1070253  1           1           1
Sr(GeRh)2   mp-10697    1           1           1
Zr(SiNi)2   mp-7707     1           1           1
Ca(CoSi)2   mp-1070152  1           1           1
U(NiGe)2    mp-5591     1           1           1
Sm(CoB)2    mp-4073     -1          0           1
Dy2TeO2     mp-16037    0           0           1
Ca(SiPd)2   mp-567769   1           1           1
Sr(FeAs)2   mp-4488     1           1           1
Nd(AgGe)2   mp-4229     -1          1           1
Yb(NiP)2    mp-570412   1           1           1
BaGa4       mp-335      0           0           1
Yb(GePd)2   mp-3296     1           1           1
Yb(PPd)2    mp-1206959  -1          1           1
Nd(CuSi)2   mp-2877     -1          1           1
Yb(SiAg)2   mp-10668    1           1           1
Y2SeO2      mp-755609   -1          0           1
Dy(SiAu)2   mp-2954     -1          1           1
Dy(CoSi)2   mp-5976     -1          0           1
Sm(CuGe)2   mp-13400    -1          1           1
Er(CoSi)2   mp-3239     -1          1           1
YbGa4       mp-1088     0           0           1
Ca(AlGa)2   mp-9690     0           0           1
Ca(GeRh)2   mp-16261    1           1           1
Pu(SiAu)2   mp-541381   -1          0           1
Sr(GeAu)2   mp-13918    1           1           1
Sm(SiRu)2   mp-4072     -1          0           1
Nd(GeRh)2   mp-4920     -1          1           1
Ba(PRh)2    mp-8583     1           1           1
Ce(FeSi)2   mp-3035     0           0           1
Sm(SiIr)2   mp-1070603  -1          0           1
Nd(GeRu)2   mp-22397    -1          1           1
Sm(SiPd)2   mp-4275     -1          1           1
Th(GeAu)2   mp-16249    0           0           1
Sm(PPd)2    mp-1206125  -1          0           1
Dy(NiGe)2   mp-21415    -1          1           1
Ba(CuS)2    mp-4255     0           0           1
Ba(AlGa)2   mp-1207061  -1          0           1
Sm(ZnGa)2   mp-1219174  -1          0           1
Sr(GePd)2   mp-978986   1           1           1
Yb(SiNi)2   mp-5916     1           1           1
Er(SiRh)2   mp-5386     -1          1           1
Sr(SiPt)2   mp-1206424  -1          1           1
Th(GeRu)2   mp-672310   1           1           1
Ba(AlGe)2   mp-31059    0           0           1
Er(NiGe)2   mp-4865     -1          1           1
Nd(AsPd)2   mp-12060    -1          1           1
La2TeO2     mp-4547     0           0           1
Er(GeRu)2   mp-571296   -1          1           1
Th(NiGe)2   mp-3264     1           1           1
Th(GeOs)2   mp-571000   1           1           1
Ca(PRh)2    mp-8580     1           1           1
CaGa4       mp-1976     0           0           1
Sm(AsPd)2   mp-570216   -1          1           1
Nd(CoGe)2   mp-4999     -1          1           1
BaAl4       mp-1903     0           0           1
Nd(SiNi)2   mp-4007     -1          0           1
Nd(ZnSi)2   mp-1206420  -1          0           1
Bi2SeO2     mp-552098   0           0           1
Th(SiPd)2   mp-5508     1           1           1
Ba(BIr)2    mp-12073    0           0           1
Nd(ZnGa)2   mp-1220338  -1          1           1
Dy(GeRh)2   mp-4337     -1          0           1
Dy(SiNi)2   mp-4692     -1          1           1
Sr(POs)2    mp-569310   0           0           1
Nd(CoSi)2   mp-4228     -1          0           1
Sm(AlZn)2   mp-569657   -1          0           1
Ca(CuAs)2   mp-1183490  -1          1           1
Sm(GeRu)2   mp-21224    -1          1           1
Nd(SiPt)2   mp-1220324  -1          0           1
Ca(AsPd)2   mp-5166     1           1           1
Ba(AsRu)2   mp-4109     0           0           1
Nd(PRu)2    mp-568055   -1          1           1
Sr(SiAg)2   mp-7880     0           0           1
Sr(NiAs)2   mp-4316     0           0           1
Ba(AsPd)2   mp-6962     0           1           1
SmAl4       mp-1891     -1          0           1
Ba(AgGe)2   mp-13910    1           1           1
SrAl4       mp-2775     0           0           1
Yb(NiGe)2   mp-574235   1           1           1
Sm(SiRh)2   mp-3882     -1          0           1
Ca(GeAu)2   mp-7883     1           1           1
Li2CN2      mp-9610     0           0           1
Nd(CoB)2    mp-5553     -1          0           1
Sm(SiPt)2   mp-4896     -1          1           1
Er(SiPt)2   mp-1225038  -1          0           1
Er(CoB)2    mp-568509   -1          0           1
Sr(CoGe)2   mp-7361     1           1           1
Tb2SeO2     mp-1101329  -1          0           1
Nd(NiGe)2   mp-4302     -1          1           1
Nd(GaCu)2   mp-1206434  -1          1           1
Zr(NiP)2    mp-10259    0           0           1
Sr(CuAs)2   mp-4861     1           1           1
Nd(SiIr)2   mp-567130   -1          1           1
Sr(SiAu)2   mp-7365     1           1           1
Ba(CdGe)2   mp-1069712  1           1           1
Ca(AsRu)2   mp-5610     1           1           1
Yb(ZnGe)2   mp-1207198  -1          1           1
Ca(FeP)2    mp-5597     1           1           1
Yb(SiPt)2   mp-4936     1           1           1
Dy(SiRu)2   mp-4177     -1          1           1
Ce(GaNi)2   mp-1206862  -1          0           1
Sm(NiAs)2   mp-567818   -1          0           1
Yb(SiPd)2   mp-4633     1           1           1
Yb(CrSi)2   mp-568551   -1          1           1
Dy(CoB)2    mp-5135     -1          1           1
Ca(PPd)2    mp-6926     1           1           1
Th(SiIr)2   mp-1068246  0           0           1
CaAl4       mp-1749     0           0           1
Ba(AgSn)2   mp-7882     1           1           1
Yb(CuSi)2   mp-5934     1           1           1
Sr(PRh)2    mp-8581     1           1           1
Sr(MgIn)2   mp-1208897  -1          0           1
Th(SiOs)2   mp-3166     1           1           1
Sr(NiSb)2   mp-569881   1           1           1
Dy(SiAg)2   mp-1206850  -1          1           1
Th(SiTc)2   mp-8375     1           1           1
Hf2H2Pd     mp-1069811  1           1           1
Sr(CuGe)2   mp-3241     1           1           1
Th(GeRh)2   mp-3011     0           1           1
Ca(SiNi)2   mp-5292     1           1           1
Zr2H2Pd     mp-1070557  1           1           1
Sm(NiSn)2   mp-571561   -1          1           1
Yb(SiRu)2   mp-3415     1           1           1
Ba(InPt)2   mp-1214750  -1          1           1
Ba(SbPd)2   mp-6963     1           1           1
Yb(AlGa)2   mp-573498   0           0           1
Ca(CuP)2    mp-7422     1           1           1
Sr(CoSi)2   mp-1069057  1           1           1
Ba(InCu)2   mp-1214759  -1          1           1
Sr(SiPt)2   mp-1218889  -1          1           1
BaIn4       mp-22687    0           0           1
Nd(SiAu)2   mp-5057     -1          0           1
Dy(SiRh)2   mp-2893     -1          1           1
Sm(GaPd)2   mp-30909    -1          1           1
Sm(SiAu)2   mp-13466    -1          1           1
Sr(GeIr)2   mp-978853   1           1           1
Sr(AgGe)2   mp-7879     0           0           1
Th(GePt)2   mp-21889    1           1           1
U(GeRh)2    mp-21132    -1          1           1
Nd(SiIr)2   mp-1069191  -1          0           1
Yb(CuGe)2   mp-13401    1           1           1
Sr(AsPd)2   mp-4370     1           1           1
Nd(SiRh)2   mp-3651     -1          1           1
Sr(SbRu)2   mp-1070613  1           1           1
Yb(PRu)2    mp-568095   1           1           1
Ba(MgIn)2   mp-1214765  -1          0           1
Ca(SiAu)2   mp-7364     1           1           1
Ba(SbRu)2   mp-1069937  1           1           1
Dy(PRu)2    mp-569089   -1          0           1
Hf(CoSi)2   mp-571367   0           0           1
Ca(SiRh)2   mp-1069956  1           1           1
U(FeGe)2    mp-20602    1           1           1
Er2TeO2     mp-1178355  -1          0           1
Sm(GePd)2   mp-31491    -1          1           1
Nd(SiPd)2   mp-4323     -1          1           1
Nd(SiRu)2   mp-4013     -1          0           1
Yb(GeRh)2   mp-567427   1           1           1
Y2TeO2      mp-755756   -1          0           1
SrIn4       mp-22466    0           0           1
Sr(InHg)2   mp-1068325  1           1           1
Ca(PRu)2    mp-5157     1           1           1
Nd(GeAu)2   mp-1068797  -1          1           1
Ba(NiP)2    mp-9473     0           0           1
Ba(AsRh)2   mp-568113   1           1           1
Er(SiAu)2   mp-3147     -1          0           1
Sr(NiGe)2   mp-3207     0           1           1
Dy(GePt)2   mp-20137    -1          1           1
Zn(BIr)2    mp-28786    1           1           1
Nd(SiPt)2   mp-20950    -1          0           1
Sr(PRu)2    mp-3804     1           1           1
Dy(SiPt)2   mp-3148     -1          0           1
Sm(CoSi)2   mp-15968    -1          0           1
Sr(AsRu)2   mp-4404     1           1           1
Ba(FeP)2    mp-4883     1           1           1
Nd(SiAg)2   mp-31204    -1          1           1
Yb(ZnSi)2   mp-1206961  -1          1           1
Er(SiPt)2   mp-7107     -1          0           1
Dy(CuGe)2   mp-22066    -1          0           1
Sr(CuSi)2   mp-7877     1           1           1
Dy(NiP)2    mp-5227     -1          1           1
Sm2TeO2     mp-16033    0           0           1
Dy(GeRu)2   mp-21082    -1          1           1
Sm(NiP)2    mp-574199   -1          1           1
Er(PPd)2    mp-1206417  -1          0           1
Ca(GePd)2   mp-16260    1           1           1
Th(SiNi)2   mp-5682     1           0           1
Ba(BRh)2    mp-7349     1           1           1
Pr2TeO2     mp-16032    0           0           1
Sr(FeP)2    mp-3299     -1          1           1
Sr(SbPd)2   mp-6961     1           1           1
Yb(GeRu)2   mp-21366    0           1           1
Sm(CuSi)2   mp-3997     -1          1           1
Yb(CoSi)2   mp-5326     1           1           1
Sr(InCu)2   mp-1208837  -1          0           1
ThZn4       mp-536      1           1           1
Nd(SiOs)2   mp-571586   -1          1           1
Er(GeRh)2   mp-570680   -1          1           1
Yb(ZnGa)2   mp-1206522  -1          1           1
Nd(PPd)2    mp-1206126  -1          0           1
Ba(NiAs)2   mp-568280   0           0           1
