formula     mp_id       data        prediction  
Pr3GaC      mp-8368     1           1           1
CaZrO3      mp-542112   0           0           1
RbNbO3      mp-1075911  -1          0           1
TiHgO3      mp-1016842  -1          0           1
Ca3SbN      mp-1013548  -1          1           1
YBPt3       mp-1018644  0           0           1
CsSrCl3     mp-1213642  -1          0           1
AlCuO3      mp-1504314  -1          0           1
TiBeO3      mp-1187465  -1          1           1
Ca3AsP      mp-1096856  -1          0           1
Yb3PbO      mp-11652    1           1           1
Sr3AsN      mp-1013537  -1          0           1
YbSnO3      mp-1187515  -1          0           1
AlCoO3      mp-1435808  -1          0           1
Nd3PbC      mp-20808    -1          1           1
Ca3SnO      mp-29241    1           1           1
CsAsO3      mp-1183911  -1          0           1
Ca3BiP      mp-1013702  -1          0           1
SrSiO3      mp-1017439  0           0           1
PaAgO3      mp-977455   -1          0           1
RbHgF3      mp-7482     0           0           1
TiZnO3      mp-1016927  -1          0           1
TlBO3       mp-1187494  -1          1           1
HfCdO3      mp-1017446  -1          0           1
RbCaH3      mp-23949    0           0           1
CsHgCl3     mp-570591   0           0           1
Ca3PN       mp-1013540  -1          0           1
Er3SnC      mp-22537    -1          1           1
Sr3BiN      mp-570008   1           1           1
Sr3SbP      mp-1013588  -1          0           1
Ca3AsP      mp-1013642  -1          0           1
BaPtO3      mp-1183290  -1          0           1
Y3TlC       mp-9960     0           0           1
Sm3AlN      mp-1094052  -1          0           1
LuGaO3      mp-1185488  -1          0           1
HfBeO3      mp-1184563  -1          0           1
TmScO3      mp-1187557  -1          0           1
YbCdO3      mp-1187568  -1          0           1
Ba3SnO      mp-29243    0           0           1
Lu3TlC      mp-10607    0           0           1
GeTeO3      mp-1184641  -1          0           1
Mg3ZnC      mp-10185    0           0           1
MgZrO3      mp-1017000  -1          0           1
HoBPd3      mp-3693     0           0           1
BaGeO3      mp-1016823  -1          0           1
CaSiO3      mp-5893     0           0           1
YSbO3       mp-1416619  -1          0           1
NaBeH3      mp-23729    0           0           1
KCaCl3      mp-1211589  -1          0           1
Mg3AsN      mp-1206514  -1          0           1
DySnO3      mp-1184153  -1          0           1
InCuO3      mp-975443   -1          0           1
Dy3AlN      mp-1017557  -1          0           1
Ti3InN      mp-21233    0           0           1
Sr3SnO      mp-7961     1           1           1
Ba3SbP      mp-1013712  -1          0           1
Sr3AsP      mp-1013532  -1          0           1
Sr3PN       mp-1013536  -1          0           1
Sm3AlN      mp-10674    -1          1           1
TlTcO3      mp-1187623  -1          1           1
SbAuO3      mp-1186920  -1          0           1
BeGeO3      mp-1183415  -1          0           1
Sr3AsN      mp-1013555  -1          0           1
Ba3PbO      mp-29242    1           1           1
K3AuO       mp-9200     0           0           1
NaTcO3      mp-977176   -1          0           1
YbZnO3      mp-1187797  -1          0           1
SrTiO3      mp-5229     0           0           1
Li3ClO      mp-985585   -1          0           1
SrLiH3      mp-24419    0           0           1
KTaO3       mp-3614     0           0           1
ScCoO3      mp-1186980  -1          1           1
Sr3Bi2      mp-1013587  -1          0           1
RbPbF3      mp-21043    0           0           1
YRh3C       mp-22120    0           0           1
La2O3       mp-33032    -1          0           1
BaLiF3      mp-10250    0           0           1
Ba3SbN      mp-1013557  -1          0           1
Ho3GaC      mp-10279    0           1           1
Ca3AsN      mp-7223     0           0           1
PrBPd3      mp-2976     0           0           1
SnPt3C      mp-20446    0           0           1
CsNbO3      mp-1096944  -1          0           1
CsSmCl3     mp-567939   -1          0           1
Ca3SbAs     mp-1013544  -1          0           1
CaSnO3      mp-7986     -1          0           1
TiCdO3      mp-1016846  -1          0           1
Nd3SnC      mp-20423    -1          1           1
ThRu3C      mp-22394    0           0           1
Rb3AuO      mp-4405     0           0           1
Er3AlN      mp-1017558  -1          0           1
Ca3AsN      mp-1013543  -1          0           1
NbBiO3      mp-1186216  -1          0           1
Tb3GaC      mp-1206878  -1          0           1
Sr3SbN      mp-7752     0           0           1
HfThO3      mp-1184597  -1          0           1
Y3AlC       mp-4448     0           0           1
Ba3BiSb     mp-1013719  -1          0           1
Ca3P2       mp-1013547  -1          0           1
CsSnBr3     mp-27214    0           0           1
Ca3SbN      mp-31157    -1          0           1
CsPbCl3     mp-23037    0           0           1
CsPbF3      mp-5811     0           0           1
Sr3SbAs     mp-1013561  -1          1           1
YCuO3       mp-1432347  -1          0           1
SrPdO3      mp-1187190  -1          0           1
Ba3AsN      mp-1013709  -1          0           1
CsCaBr3     mp-30056    0           0           1
HoRh3C      mp-22664    1           1           1
Y3InC       mp-19817    0           0           1
Ba3AsP      mp-1013586  -1          0           1
Sm3SnC      mp-10718    -1          1           1
ErZnO3      mp-1184207  -1          0           1
Ba3BiN      mp-1013710  -1          0           1
PaTlO3      mp-862832   -1          0           1
Ba3BiAs     mp-1013563  -1          0           1
CsCdF3      mp-8399     0           0           1
La3AlC      mp-10600    0           0           1
KMgH3       mp-23737    0           0           1
CsSrF3      mp-8397     0           0           1
Sr3SbAs     mp-1013541  -1          0           1
Nd3GaN      mp-636273   -1          1           1
TlGaO3      mp-1187481  -1          0           1
Ca3BiAs     mp-1013703  -1          0           1
AlBiO3      mp-23080    0           0           1
Ba3AsP      mp-1013711  -1          0           1
UPdO3       mp-1187714  -1          0           1
YbGeO3      mp-865758   -1          0           1
Ba3BiAs     mp-1013716  -1          0           1
Sc3SnB      mp-10139    0           0           1
LiCaF3      mp-1017626  0           0           1
Dy3SnC      mp-19899    -1          0           1
Ca3BiN      mp-1013542  -1          0           1
AcBO3       mp-1183052  -1          0           1
NdGeO3      mp-975347   -1          0           1
AlCo3C      mp-10037    0           0           1
TbCuO3      mp-1187321  -1          0           1
YAgO3       mp-1418929  -1          0           1
CaSnS3      mp-866816   -1          0           1
HgRuO3      mp-1016851  -1          0           1
CeBeO3      mp-1183685  -1          0           1
CaGeO3      mp-1016884  -1          0           1
Lu3GaC      mp-1206912  -1          0           1
ZnSnO3      mp-1016902  -1          0           1
KAsO3       mp-1184937  -1          0           1
Sr3AsP      mp-1013553  -1          0           1
ZnGeO3      mp-1016930  -1          0           1
K3IO        mp-28171    0           0           1
HfMgO3      mp-1016825  -1          0           1
RbAcO3      mp-975463   -1          0           1
YbRu3C      mp-1206413  -1          1           1
CsYbCl3     mp-1070599  0           0           1
SnPbO3      mp-978952   -1          0           1
RbPbCl3     mp-1209191  -1          0           1
Sr3As2      mp-1013559  -1          0           1
Ca3BiAs     mp-1013545  -1          0           1
La3InC      mp-29056    0           0           1
CdSnO3      mp-1016881  -1          0           1
ZrBeO3      mp-1188011  -1          1           1
Tm3TlC      mp-22556    1           1           1
HgGeO3      mp-1017447  -1          1           1
Ba3Sb2      mp-1013582  -1          0           1
ZrBeO3      mp-1239170  -1          0           1
LuReO3      mp-1185529  -1          0           1
CsBeF3      mp-1017555  0           0           1
Cs2O3       mp-1185535  -1          0           1
SrHfO3      mp-4551     0           0           1
KCaF3       mp-4950     0           0           1
Sr3BiSb     mp-1013706  -1          0           1
Na3BrO      mp-985586   -1          0           1
Sm3InN      mp-19716    -1          0           1
TiSnO3      mp-1018639  0           0           1
Tb3TlC      mp-19836    1           1           1
TbRh3C      mp-542103   1           1           1
MgTiO3      mp-1016830  -1          0           1
Sc3AlC      mp-4079     0           0           1
MgAgF3      mp-1210575  -1          0           1
Ba3BiN      mp-1013549  -1          1           1
Ca3GeO      mp-9721     1           1           1
Sr3BiAs     mp-1013564  -1          0           1
SiHgO3      mp-1016874  -1          1           1
SrPtO3      mp-1187202  -1          0           1
AlSbO3      mp-1183134  -1          0           1
SrGeO3      mp-1016999  0           0           1
Nd2O3       mp-33029    -1          0           1
Tm3AlC      mp-574239   0           1           1
BaPbO3      mp-21280    0           0           1
BaSnO3      mp-3163     0           0           1
KPaO3       mp-1206970  -1          0           1
NaPaO3      mp-865120   -1          0           1
RbGeI3      mp-571458   0           0           1
TiTeO3      mp-1187488  -1          0           1
CsMgF3      mp-8401     0           0           1
ZrPbO3      mp-1068577  0           0           1
Sr3SbP      mp-1013535  -1          0           1
Ca3AuN      mp-9040     0           0           1
Sc3BPb      mp-10133    0           0           1
Lu3InC      mp-1206516  -1          0           1
CsSnI3      mp-614013   1           0           1
ZrHgO3      mp-1016871  -1          0           1
KIO3        mp-558843   -1          1           1
Rb3BrO      mp-30055    0           0           1
HfHgO3      mp-1016841  -1          0           1
Pr3InO      mp-21135    0           0           1
Sr3BiP      mp-1013530  -1          0           1
Lu3AlC      mp-1206894  -1          0           1
ErRu3C      mp-1206911  -1          1           1
NaTaO3      mp-4170     0           0           1
