formula     mp_id       data        prediction  
TmMgTl      mp-1206000  -1          1           1
SmPdPb      mp-1079245  -1          0           1
LaInPd      mp-20138    0           0           1
LiLuGe      mp-1205878  -1          1           1
CaCdPb      mp-623089   0           0           1
LuInPt      mp-569848   0           0           1
YAgGe       mp-1205828  -1          1           1
PrMgGa      mp-7239     1           1           1
YInNi       mp-672299   0           0           1
TmCdAu      mp-1205911  -1          1           1
HfGeRu      mp-1080489  0           1           1
TbAlPd      mp-3197     0           0           1
SmNiSn      mp-1205849  -1          0           1
SmInCu      mp-1179530  -1          1           1
LuMgTl      mp-1205959  -1          1           1
YInPd       mp-1087485  0           0           1
NbReSi      mp-1095061  0           0           1
PrAlNi      mp-1079699  0           0           1
CoNiP       mp-1226037  -1          0           1
SmAlCu      mp-979972   -1          1           1
ZrSiRu      mp-7544     0           0           1
HoMgTl      mp-1205788  -1          1           1
LiTmGe      mp-1205941  -1          1           1
ErInCu      mp-3950     -1          1           1
TbSnIr      mp-1205755  -1          0           1
LaSnRh      mp-12378    1           1           1
PrSnIr      mp-1205817  -1          0           1
YbInAu      mp-570912   1           1           1
HoCdAu      mp-1205778  -1          1           1
LuSnIr      mp-1079958  0           0           1
TbMgAg      mp-1205829  -1          1           1
TbMgAu      mp-1205820  -1          1           1
SmInIr      mp-21379    -1          0           1
TmMgGa      mp-11156    1           1           1
YAlPd       mp-12961    0           0           1
TmInPt      mp-20103    0           0           1
TmAgSn      mp-2990     1           1           1
ThAlCo      mp-1206017  -1          0           1
HfSiRu      mp-1078884  0           0           1
HfGeOs      mp-1095196  0           0           1
TbAgGe      mp-10079    1           1           1
LuInPd      mp-1079085  0           0           1
BaI2        mp-568536   0           0           1
TbMgGa      mp-1205835  -1          1           1
BaNaP       mp-9732     0           0           1
CaPdPb      mp-672254   1           1           1
SmInAu      mp-621351   -1          1           1
YbMgPb      mp-1079319  1           0           1
YMgCu       mp-13171    0           0           1
DyAlCu      mp-1078857  -1          1           1
YMgAg       mp-30737    1           1           1
TmAgPb      mp-20522    0           0           1
DyInAu      mp-22177    -1          1           1
LaMgAg      mp-1079843  1           1           1
YbPdPb      mp-1087494  0           0           1
CaAgAs      mp-5615     1           1           1
TiO2        mp-1079207  0           0           1
NaSrP       mp-13275    0           0           1
CeSe2       mp-1021484  -1          0           1
PrMgTl      mp-1205937  -1          1           1
LiTbGe      mp-1078961  1           1           1
LaMgTl      mp-11985    1           1           1
LuInNi      mp-1206494  -1          0           1
YbMgSn      mp-569745   1           1           1
PrMgIn      mp-1205949  -1          1           1
LaMgGa      mp-21509    1           1           1
PrInPt      mp-1206016  -1          0           1
NiPRh       mp-1079265  0           0           1
TmAlNi      mp-1087523  0           0           1
YCdAu       mp-1206674  -1          1           1
Na2O        mp-1119338  -1          0           1
ScInPt      mp-31297    0           0           1
SmInRh      mp-20789    -1          1           1
TbInPd      mp-21308    0           0           1
CaAgP       mp-12277    1           1           1
SmMgPd      mp-1079743  -1          0           1
LaInPt      mp-20451    1           0           1
TbTlPd      mp-30837    0           0           1
ErZnPd      mp-1079852  -1          0           1
