formula     mp_id       data        prediction  
LaSnPt      mp-3076     0           0           1
PbBr2       mp-28077    0           0           1
PRu2        mp-21911    0           0           1
HfSiNi      mp-1101952  -1          0           1
SmGeIr      mp-1208649  -1          0           1
LiCaN       mp-31468    0           0           1
TbSnPd      mp-21401    0           0           1
ErAlPd      mp-1102820  -1          1           1
CaGePt      mp-31153    1           1           1
ErGaIr      mp-1102196  -1          0           1
KCuN        mp-1245556  -1          0           1
YbGeRh      mp-20498    0           0           1
Ga2Au       mp-1102090  -1          1           1
LuSiRh      mp-22801    1           1           1
ZrNiAs      mp-1207428  -1          1           1
ZrCuSi      mp-22522    -1          1           1
BaCaGe      mp-16252    0           0           1
NbGeRh      mp-1102532  -1          1           1
TbGaPd      mp-12704    1           1           1
HfCuGe      mp-1095504  0           0           1
LiCaAs      mp-1095289  0           0           1
SmGaCo      mp-623295   0           0           1
LiCuS       mp-753826   -1          0           1
TmNiGe      mp-21157    0           0           1
TbSbIr      mp-1208331  -1          0           1
PbClO       mp-1095473  0           0           1
HoAsPd      mp-8952     1           1           1
TlAgTe      mp-5874     0           0           1
PrMgRh      mp-16646    1           1           1
YSnIr       mp-1101774  -1          0           1
DySnPd      mp-30618    0           0           1
TiCoP       mp-1102138  -1          1           1
H2C         mp-985782   -1          0           1
DyGeRh      mp-9529     1           0           1
ZrGeRh      mp-1101959  -1          1           1
CaInPt      mp-570689   0           0           1
TiSiPd      mp-1103162  -1          1           1
HoZnRh      mp-13380    1           1           1
KPdN        mp-1245649  -1          0           1
PrSnPt      mp-21453    0           0           1
SbOF        mp-753656   -1          0           1
SiRh2       mp-20418    1           0           1
ZrCuGe      mp-1103123  -1          0           1
HfP2        mp-1102018  -1          1           1
RbMgN       mp-1246143  -1          0           1
HfNiP       mp-1102032  -1          1           1
NaLiTe      mp-8754     0           0           1
TbAlPt      mp-1102944  -1          1           1
CuTeAs      mp-1184180  -1          0           1
Nd2Au       mp-1102098  -1          0           1
CoMoP       mp-22262    1           1           1
TmAsS       mp-1102079  -1          1           1
YbCdAu      mp-11085    0           0           1
TiSiIr      mp-1103248  -1          1           1
SmSnPd      mp-571581   0           0           1
NdSnPt      mp-20347    0           0           1
LiCN        mp-30057    0           0           1
Ag2Se       mp-568971   -1          0           1
Mg2Pb       mp-1102915  -1          1           1
DyCoGe      mp-1102863  -1          0           1
CaInPd      mp-620571   0           0           1
La2Au       mp-1103395  -1          1           1
SrCaSi      mp-7084     0           0           1
ZrGeAs      mp-1207384  -1          1           1
Yb2Pb       mp-11544    0           0           1
