formula     mp_id       data        prediction  
RbI         mp-22903    0           0           1
LiI         mp-22899    0           0           1
ZnTe        mp-948      0           0           1
TlBr        mp-568560   0           0           1
NiC         mp-1009582  1           1           1
PaAs        mp-15694    0           0           1
AgN         mp-1056955  0           0           1
GeC         mp-1002165  0           0           1
CdS         mp-370      -1          0           1
PdC         mp-1009533  1           1           1
CaS         mp-1672     0           0           1
ErS         mp-1623     -1          0           1
DyTe        mp-2159     -1          0           1
BeSe        mp-11335    0           0           1
TlN         mp-1002222  0           0           1
SmO         mp-1611     -1          1           1
PmN         mp-1018160  1           1           1
YBi         mp-23241    1           1           1
HoAs        mp-295      1           1           1
MgSn        mp-1094232  -1          0           1
ThC         mp-1164     0           0           1
LuAs        mp-2017     0           0           1
HoN         mp-883      0           0           1
TmP         mp-7171     0           0           1
TmBi        mp-23234    1           1           1
YAs         mp-933      1           1           1
BaS         mp-1500     0           0           1
AlAs        mp-988940   -1          0           1
TbP         mp-645      1           1           1
TiO         mp-2664     0           0           1
VH          mp-1002114  1           1           1
ZnO         mp-2229     0           0           1
PtO         mp-11540    0           0           1
SnS         mp-1876     1           1           1
TmSb        mp-2520     0           0           1
LiCl        mp-22905    0           0           1
AgI         mp-22919    0           0           1
CaO         mp-2605     0           0           1
SrTe        mp-1958     0           0           1
ThO         mp-1206987  -1          0           1
SnTe        mp-1883     1           1           1
InSb        mp-10149    0           0           1
CuCl        mp-571386   0           0           1
YbO         mp-1216     0           1           1
KH          mp-24084    0           0           1
PrN         mp-343      1           1           1
MgSe        mp-10760    0           0           1
NdO         mp-754545   -1          1           1
ZrC         mp-2795     1           1           1
RbF         mp-11718    0           0           1
RbCl        mp-23295    0           0           1
LuN         mp-1102     0           0           1
KB          mp-1059907  1           1           1
YSb         mp-215      0           0           1
ScBi        mp-570632   1           1           1
PrP         mp-601      1           1           1
TmN         mp-1975     0           0           1
TlF         mp-2175     0           0           1
SmSe        mp-1447     -1          0           1
TaN         mp-251      0           0           1
PtC         mp-1018165  1           0           1
ThGe        mp-1093     1           1           1
RbH         mp-24721    0           0           1
AgCl        mp-22922    0           0           1
NbN         mp-1580     0           0           1
IN          mp-1057979  0           0           1
LaAs        mp-708      1           1           1
CuI         mp-1096937  -1          0           1
TbSb        mp-2724     1           1           1
NCl         mp-1057084  -1          0           1
LuBi        mp-568059   1           1           1
YN          mp-2114     0           0           1
CdC         mp-1006887  0           0           1
